N T Rho C_v C_v_sig P P_sig Data_points Run_time
1372 2.89 0.85 2.31829 0.03746 1.02462 0.01098 2001 1605
1372 2.2 0.85 2.48084 0.04825 1.01678 0.01103 2001 1641
1372 1.21 0.85 2.65348 0.05509 1.03149 0.01148 2001 1563
1372 1.13 0.85 2.63029 0.06891 1.05651 0.01246 2001 1973
1372 0.88 0.85 2.36732 0.04957 1.05824 0.01169 2001 1977
1372 2.84 0.75 2.19202 0.02817 1.0072 0.00926 2001 1670
1372 0.827 0.75 2.31208 0.03842 0.99948 0.01097 2001 1728
1372 4.62 0.45 1.71248 0.00805 1.016 0.0051 2001 1447
1372 2.93 0.45 1.75985 0.00878 1.03754 0.00577 2001 1729
1372 1.71 0.45 1.8372 0.01377 1.03137 0.00728 2001 1425
1372 1.51 0.45 1.91869 0.01949 1.00408 0.00764 2001 1535
1372 0.99 0.88 2.46274 0.05302 1.01018 0.0134 2001 1963
1372 1.01 0.8 2.50847 0.05052 0.96209 0.01217 2001 1543
1372 1.014 0.7 1.96062 0.02257 1.01061 0.01049 2001 1766
