N T Rho C_v C_v_sig P P_sig Data_points Run_time
864 2.89 0.85 2.40158 0.04733 1.0152 0.00986 2001 568
864 2.2 0.85 2.29403 0.03695 0.9823 0.01149 2001 618
864 1.21 0.85 2.29463 0.0378 1.0071 0.01569 2001 608
864 1.13 0.85 2.40023 0.04555 1.02796 0.01387 2001 624
864 0.88 0.85 4.63477 0.30205 1.11789 0.01563 2001 646
864 2.84 0.75 1.9837 0.01938 1.05862 0.00953 2001 598
864 0.827 0.75 2.31532 0.04124 1.09188 0.01238 2001 590
864 4.62 0.45 1.72994 0.00805 0.97231 0.00639 2001 656
864 2.93 0.45 1.753 0.00929 1.0149 0.00655 2001 601
864 1.71 0.45 1.93489 0.01687 0.96588 0.00792 2001 715
864 1.51 0.45 1.979 0.02128 1.01715 0.00756 2001 739
864 0.99 0.88 -1.46007 0.07836 1.37765 0.01787 2001 602
864 1.01 0.8 2.32329 0.04141 1.06404 0.01485 2001 661
864 1.014 0.7 2.24572 0.03388 1.02032 0.01259 2001 688
