N T Rho C_v C_v_sig P P_sig Run_time
864 2.89 0.85 2.28277 0.02796 1.002 0.00809 1237
864 2.2 0.85 2.29917 0.02299 1.01343 0.00776 1208
864 1.21 0.85 2.5077 0.03427 0.99559 0.00947 1196
864 1.13 0.85 2.5572 0.03578 1.02603 0.00976 1199
864 0.88 0.85 2.38569 0.03413 1.03423 0.01068 1207
864 2.84 0.75 2.07613 0.01693 1.00508 0.00724 1263
864 0.827 0.75 2.37072 0.02997 1.02463 0.0084 1235
864 4.62 0.45 1.72065 0.0055 1.00871 0.00413 1294
864 2.93 0.45 1.72748 0.00579 0.99395 0.00442 1298
864 1.71 0.45 1.7688 0.0067 0.97169 0.0055 1322
864 1.51 0.45 1.82243 0.00733 0.99456 0.00545 1302
864 0.99 0.88 2.4264 0.03425 0.98998 0.0108 1278
864 1.01 0.8 2.46937 0.03149 1.02793 0.0092 1286
864 1.014 0.7 2.10519 0.01887 0.98253 0.00793 1274
