N T Rho C_v C_v_sig P P_sig Run_time
256 2.89 0.85 2.35842 0.02752 1.02528 0.01047 114
256 2.2 0.85 2.39012 0.02762 1.0213 0.01143 116
256 1.21 0.85 2.38537 0.029 0.97482 0.01309 116
256 1.13 0.85 2.54405 0.03614 1.00508 0.01391 110
256 0.88 0.85 2.53028 0.0348 1.00123 0.01539 110
256 2.84 0.75 2.05892 0.01565 1.01017 0.0099 112
256 0.827 0.75 2.25815 0.02333 0.9488 0.01248 108
256 4.62 0.45 1.71801 0.00486 1.01768 0.00624 107
256 2.93 0.45 1.73417 0.00589 0.97334 0.00746 108
256 1.71 0.45 1.76307 0.00614 0.99472 0.00747 109
256 1.51 0.45 1.88305 0.00947 1.00162 0.0075 111
256 0.99 0.88 3.1834 0.07892 1.07826 0.01576 111
256 1.01 0.8 2.29598 0.02873 1.03266 0.01297 112
256 1.014 0.7 2.2408 0.02118 0.99147 0.01225 108
